Disease 	Genetic defect	Inheritance	GOF/DN	OMIM	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	HPO	HPO
P14/LAMTOR2 deficiency	LAMTOR2	 AR		610389				Low	Monocytes	"Neutropenia, Hypogammaglobulinemia ¯CD8 cytotoxicity, partial albinism, growth failure "	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
Chromosome 22q11.2 deletion Syndrome (22q11.2DS) (AKA DiGeorge/velocardiofacial syndrome)	Large (3Mb) deletion of 22q11.2 	AD		602054	5% have < 1500 CD3T cells/uL in neonatal period	Normal numbers in childhood usually	Normal or decreased	Normal		"Hypoparathyroidism, conotruncal cardiac malformation, velopalatal insufficiency, abnormal facies, intellectual disability "	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	279.2	D82.1	HP:0002715	HP:0005403	HP:0012759	
LAT deficiency	LAT	AR		602354	Nl to low number	Nl to low	High	Normal		"Adenopathy, splenomegaly, recurrent infections, autoimmunity"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
LCK deficiency	LCK 	AR		615758	"Low CD4+, low Treg, restricted T cell repertoire, poor TCR signaling"	Normal				"Recurrent infections, immune dysregulation, autoimmunity"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
SLP76 deficiency	LCP2	AR			Low T cells- mainly TEMRA and oligoconal	Normal	Low	Normal but dysfunctional	"Reduced NK degranulation, platelet dysfunction"		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
Ligase I deficiency	LIG1	AR		126391	"Lymphopenia, decreased mitogen response"	Normal	"Low, poor function"			"Recurrent respiratory infections,  growth retardation, sun sensitivity, lymphoma, radiation sensitivity"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
DNA ligase IV deficiency	LIG4 	AR		601837	Very low	Very low	Low	Normal		"Radiation sensitive, microcephaly"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403		
Chronic recurrent multifocal osteomyelitis and congenital dyserythropoietic anemia  (Majeed syndrome)	LPIN2 	AR		609628	Normal 	Normal	Normal	Normal	"Neutrophils, bone marrow cells"	"Chronic recurrent multifocal osteomyelitis, transfusion-dependent anemia, cutaneous inflammatory disorders"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
LRBA deficiency	LRBA	AR		606453	"Normal or decreased CD4 numbers, T cell dysregulation"	Low or normal numbers of B cells	Variable	Normal		"Recurrent infections, inflammatory bowel disease, autoimmunity, EBV infections"	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects	279.9	D81.8	HP:0002715	HP:0002960		
LSM11 deficiency	LSM11	AR		619486						"AGS, Type I interferon in fibroblasts"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies						
MD2 deficiency	LY96	AR							Myeloid cells	"IBD, infections"	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency 	279.9	D89.9	HP:0002715	HP:0002718		
LYN GOF disease	LYN	AD	GOF	620376					Endothelial cells	"Rash, fever, HSM, liver fibrosis, IBD"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
Chediak-Higashi syndrome	LYST	AR		606897	Increased activated T cells	Normal		Low		"Partial albinism, recurrent infections, fever, HSM, HLH, giant lysosomes, neutropenia, cytopenias, bleeding tendency, progressive neurological dysfunction"	Table 4 Diseases of Immune Dysregulation	Subtable 2 FHL Syndromes with Hypopigmentation	288.4	D76.1	HP:0002715	HP:0012156	HP:0005599	
Fanconi Anemia Type V	MAD2L2	AR		617243	normal to low	Normal to low			Hematopoietic stem cell	"normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
MAGT1 deficiency (XMEN)	MAGT1	XL		300853	"Low CD4 Low recent thymic emigrant cels, poor proliferation to CD3 "	Normal				"EBV infection, lymphoma, viral infections, respiratory and GI infections"	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
MALT1 deficiency	MALT1 	AR		615468	"Nl number, poor proliferation"	Normal				"Bacterial, fungal and viral infections"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
MAN2B2 deficiency	MAN2B2	AR			Low T cells and TRECs	Low	"Normal IgM, low IgA, high IgE"			"Developmental delay, congenital disorder of glycosylation, microcephaly, vasculitis, arthritis, FTT"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
MAP1LC3B2 	MAP1LC3B2 	AD				Normal 	Normal	Normal		Mollaret's meningitis HSV2	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
NIK deficiency	MAP3K14	AR		604655	"Nl number, poor proliferation to antigen"	"Low, low switched memory B cells"			Low NK	"Recurrent bacterial, viral and Cryptosporidium infections"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
MAPK8 deficiency	MAPK8	AD 			Low Th17	Normal	Normal	Normal		CMC and Ehlers Danlos	Table 6 Defects in intrinsic and innate immunity	Subtable 6 Predisposition to Mucocutaneous Candidiasis	279.9	D89.9	HP:0002715	HP:0005401		
MASP2 deficiency	MASP2	AR		605102	Normal 	Normal	Normal	Normal		"Pyogenic infections, inflammatory lung disease, autoimmunity"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718		
MCM10 deficiency	MCM10	AR			"Mild lymphopenia with decreased CM, EM T cells"	Low	Slightly low IgG		"VERY low NK, absent CD56dim, poor NK function"	"CMV, HLH-like, phenocopies GINS1 and MCM4"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
MCM4 deficiency	MCM4 	AR		602638	Normal	Normal	Normal		Low NK	"Viral infections (EBV, HSV, VZV),  short stature, B cell lymphoma, adrenal failure "	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
MCTS1 deficiency	MCTS1	XL		301115						"Severe MSMD, histoplasmosis"	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
"EVI1, MECOM deficiency"	MECOM	AD			Pancytopenia with thrombocytopenia most common 	B cell deficiency variable	Variable	Pancytopenia		"Somatic features:  radioulnar synostosis, clinodactyly, cardiac and renal malformations, late onset hearing loss. Genotype-phenotype correlation with B cell deficiency associated with C-terminal mutations. Phenocopies HOXA11 deficient patients"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Familial Mediterranean fever	MEFV 	AR 		249100	Normal 	Normal	Normal	Normal	"Mature granulocytes, cytokine-activated monocytes."	"Recurrent fever, serositis and inflammation responsive to colchicine. Predisoposes to vasculitis and inflammatory bowel disease."	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	277.31	M04.1	HP:0002721	HP:0001954		
Familial Mediterranean fever	MEFV 	AD		249100	Normal 	Normal	Normal	Normal	"Mature granulocytes, cytokine-activated monocytes."	"Recurrent fever, serositis and inflammation responsive to colchicine. Predisoposes to vasculitis and inflammatory bowel disease. Usually M694del variant."	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	277.31	M04.1	HP:0002721	HP:0001954		
Mannosyl-oligosaccharide glucosidase deficiency (MOGS)	MOGS (GCS1)	AR		601336	Normal 	Normal	Low			"Bacterial and viral  infections,  severe neurologic disease, also known as congenital disorder of glycosylation type IIb (CDG-IIb) (GCS1)"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0005403		
Neutropenia with combined immune deficiency due to MKL1 deficiency	MRTFA	AR		606078				Low		Mild thrombocytopenia	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0410252		
MSH6	MSH6 	AR		600678			Low IgG and IgA with normal or high IgM			Family or personal history of cancer	Table 3 Predominantly Antibody Deficiencies	"Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM"	279.05	D80.5	HP:0002715	HP:0004313		
Moesin deficiency	MSN	XL		300988	"Nl number, defective migration, proliferaton"	Low number		Low		"Recurrent infections with bacteria, varicella"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
Methylene-tetrahydrofolate dehydrogenase 1 (MTHFD1) deficiency	MTHFD1	AR		172460	"Low thymic output, normal in vitro proliferation"	Low	Low	Low		"Recurrent bacterial infection, Pneumocystis jirovecii, megaloblastic anemia, failure to thrive, neutropenia, seizures, intellectual disability, folate-responsive"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 6 Defects of Vitamin B12 and Folate Metabolism	279.2	D81.9	HP:0002715	HP:0012335		
Mevalonate kinase deficiency (Hyper IgD syndrome)	MVK 	AR		260920	Normal 	Normal	Normal	Normal	 Somatic and hemaotpoietic	Periodic fever and leukocytosis with high IgD levels	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.1	HP:0002721	HP:0001954		
MyD88 deficiency	MYD88	AR		602170	Normal 	Normal	Normal	Normal	Lymphocytes + Granulocytes+ Monocytes	Bacterial infections (pyogens)	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility	279.9	D89.9	HP:0002715	HP:0002718		
MYSM1 deficiency	MYSM1	AR		612176	"T cell lymphopenia, reduced naïve T cells"	Immature B cells				"Short stature, recurrent infections, congenital bone marrow failure, myelodysplasia, immunodeficiency affecting B-cells and granulocytes, skeletal anomalies, cataracts,  developmental delay."	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 4 Immuno-osseous Dysplasias	279.2	D81.9	HP:0002715	HP:0005403		
Acute liver failure due to NBAS deficiency	NBAS	AR		608025	Normal 	Normal	Normal	Normal	Somatic and hematopoietic	Fever induces liver failure	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0006554		
NBEAL2 deficiency	NBEAL2	AR		139090	"Low CTLA4, normal Treg counts"				Grety platelet syndrome	"Splenomegaly, EBV, HLH"	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects						
Nijmegen breakage syndrome	NBN	AR		602667	Progressive decrease	Variably reduced	Variable			"Microcephaly, dysmorphic facies, lymphomas, solid tumors, increased radiosensitivity, chromosomal instability"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
Autosomal recessive CGD p47phox	NCF1	 AR		608512			Normal	Normal	Neutrophil dysfunction	"Infections, autoinflammatory phenotype"	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	HP:0002841	
Autosomal recessive CGD p67phox	NCF2	 AR		608515			Normal	Normal	Neutrophil dysfunction	"Infections, autoinflammatory phenotype"	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	HP:0002841	
Autosomal recessive CGD p40phox	NCF4	 AR		601488			Normal	Normal	Neutrophil dysfunction	"Infections, autoinflammatory phenotype"	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	HP:0002841	
HEM1 (NCKAPIL) deficiency	NCKAPIL	AR			"Normal T cell counts but high TCM, decreased prolfieration"	Normal	Normal to high			"Infections, skin rashes, ulcers, SLE-like, fever, HLH-like, FTT.  High Th1 cytokines"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	558.9	K52.3	HP:0002721	HP:0002037		
NCSTN deficiency hidradenitis suppurativa	NCSTN	AD		605254	Normal 	Normal	Normal	Normal	Epidermis	Hidradenitis suppurativa with acne	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0040154		
NFAT5 haploinsufficiency	NFAT5	AD		604708	Normal	Normal	Normal 	Normal		"IBD, recurrent sinopulmonary infections"	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis	279.9	D82.8	HP:0002715	HP:0004386		
NFATC1 deficiency	NFATC1	AR			Normal 	Low switched memory	Hypogammaglobuliemia	Normal		"Sinopulmonary infections, warts"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
NFAT1 deficiency	NFATC2	AR		620232	Normal	Low class switched B cells				"Joint contractures, osteochondromas, B cell lymphoma. EBV driven lymphoproliferation, hypogamglobulinemia "	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
NFE2L2 GOF 	NFE2L2	AD		617744		Decreased switched memory B cells	Low			"Recurrent respiratory and skin infections, growth retardation, , developmental delay; white matter cerebral lesions, increased level of homocysteine; increased expression of stress response genes"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	 HP:0012758		
NFKB1 deficiency	NFKB1	AD		164011						"Recurrent sinopulmonary infections, COPD, EBV proliferation, autoimmune cytopenias, alopecia and autoimmune thyroiditis "	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
NFKB2 deficiency	NFKB2	AD		615577						"Recurrent sinopulmonary infections, alopecia and endorinopathies"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
EDA-ID due to IKBA GOF 	NFKBIA 	AD 	GOF	164008	"Normal total T cells, TCR activation impaired"	"Normal B cell numbers, impaired BCR activation, low memory and isotype switched B cells"	"Decreased IgG and IgA, elevated IgM, poor specific antibody responses, absent antibody to polysaccharide antigens"			"Anhidrotic ectodermal dysplasia,  various infections (bacteria, mycobacteria, viruses and fungi), colitis, variable defects of skin, hair and teeth, T cell and monocyte dysfunction"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 7 Anhidrotic Ectodermodysplasia with Immunodeficiency (EDA-ID)	279.2	D81.9	HP:0002715	 HP:0000968		
Cernunnos/XLF deficiency	NHEJ1	AR		611290	Very low	Very low	Low	Normal		"Radiation sensitive, microcephaly"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403		
NLRC4 (GOF)-MAS (macrophage activating syndrome) or familial cold autoinflammatory syndrome 4	NLRC4 	AD 	GOF	616115	Normal 	Normal	Normal	Normal	PMNs monocytes macrophages	Severe enterocolitis and macrophage activation syndrome	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.2	HP:0002721	HP:0001954		
NLRP1 deficiency	NLRP1	AR		606579	Normal 	Normal	Normal	Normal	leukocytes	"Dyskeratosis, autoimmunity and arthritis"	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.8	HP:0002721	HP:0001954		
NLRP1 GOF	NLRP1	AD 	GOF	615225	Normal 	Normal	Normal	Normal	Keratinocytes	"Palmoplantar carcinoma, corneal scarring"	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.8	HP:0002721	HP:0001954		
Familial cold autoinflammatory syndrome 2	NLRP12	AD 	GOF	611762	Normal 	Normal	Normal	Normal	"PMNs, monocytes"	"Non-pruritic urticaria, arthritis, chills, fever and leukocytosis after cold exposure. "	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.2	HP:0002721	HP:0001954		
Familial cold autoinflammatory syndrome 1	NLRP3	AD 	GOF	120100	Normal 	Normal	Normal	Normal	"PMNs, monocytes"	"Non-pruritic urticaria, arthritis, chills, fever and leukocytosis after cold exposure. "	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.2	HP:0002721	HP:0001954		
Neonatal onset multisystem inflammatory disease (NOMID) or chronic infantile  neurologic cutaneous and articular syndrome (CINCA)	NLRP3	AD 	GOF	607115	Normal 	Normal	Normal	Normal	"PMNs, chondrocytes"	"Neonatal onset rash, chronic meningitis, and arthropathy with fever and inflammation. "	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.2	HP:0002721	HP:0001954		
Muckle-Wells syndrome	NLRP3 	AD 	GOF	191900	Normal 	Normal	Normal	Normal	PMNs Monocytes	"Urticaria, SNHL, amyloidosis. "	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.1	HP:0002721	HP:0001954		
Blau syndrome	NOD2 	AD		186580	Normal 	Normal	Normal	Normal	Monocytes	"Uveitis, granulomatous synovitis, camptodactyly, rash and cranial neuropathies, 30% develop Crohn colitis"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0000554		
DKCB2	NOLA2	AR		613987	normal to low	Normal to low			Hematopoietic stem cell	"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
DKCB1	NOLA3	AR		224230	normal to low	Normal to low			Hematopoietic stem cell	"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
NOS2 deficiency	NOS2	AR			Low CD4 T cells	Low		Normal			Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
NSMCE3 deficiency	NSMCE3	AR		608243	"Number decreased, poor response to mitogens and antigens"	Normal	"Normal IgG, IgA, normal to elevated IgM; decreased antibody responses to PPS "			"Severe lung disease (possibly viral), thymic hypoplasia, Chromosomal breakage, radiation sensitivity"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
NUDCD3 deficiency	NUDCD3	AR		NA	Very low	Very low	Decreased			Omenn syndrome	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403		
OAS1 deficiency	OAS1	AR								MISC	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
OAS1 GOF	OAS1	AD 	GOF	164350						"Pulmonary alveolar proteinosis, skin rash"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	HP:0006517	
OAS2 deficiency	OAS2	AR								MISC	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
ORAI-1 deficiency	ORAI1 	AR		610277	"Normal, defective TCR mediated activation"	Normal	Normal 			"Autoimmunity, EDA, non-progressive myopathy"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 8 Calcium Channel Defects	279.2	D81.9	HP:0002715	 HP:0003198		
OSTM1 deficiency associated osteopetrosis	OSTM1	AR		   607649					Osteoclasts	"Osteopetrosis with hypocalcemia, neurologic features"	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0011002		
Otulipenia/ORAS	OTULIN	AR		615712					Leukocytes	"Fever, diarrhea , dermatitis"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0001954		
Otulin deficiency	OTULIN	AD	DN	615712						Inflammatory disease	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
Otulin haplosufficiency	OTULIN	AD		615712						"Inflammatory disease, Staphylococcus aureus infection"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
Fanconi Anemia Type N	PALB2	AR		610832	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
DKCB6	PARN	AR		616353	normal to low	Normal to low			Hematopoietic stem cell	"developmental delay, microcephaly, and cerebellar hypoplasia"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
PAX1 deficiency	PAX1	AR 			Very low	Normal	Low	Normal		"Athymia, otofaciocervical syndrome"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
PAX5 deficiency 	PAX5	AR				Low	Low			autism spectrum disorder (ASD) and sensorimotor and cognitive defects	Table 3 Predominantly Antibody Deficiencies	"Subtable 1 Severe Reduction in All Serum Immunoglobulin Isotypes with Profoundly Decreased or Absent B Cells, Agammaglobulinemia "	279.04	D80.0	HP:0002715	HP:0004432		
PD1 deficiency	PDCD1	AR			"mild lymphopenia but mostly intact. Increased CD4-CD8- DN T cells, Decreased  V?2+ ?? T, MAIT and CD56hi NK cells "	Normal	"high serum IgG, IgA; normal IgM, IgE. Anti-insulin autoantibody"			"Tuberculosis, autoimmunity (T1D, hypothyroidism and JIA),  fatal pulmonary autoimmunity, hepatosplenomegaly"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
Prolidase deficiency	PEPD	AR		613230	Normal	Normal				"Autoantibodies common, chronic skin ulcers, eczema, infections"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
PGM3 deficiency	PGM3	AR		172100	CD8 and CD4 T cells may be decreased	Low B and memory B cells	"Normal or elevated IgG and IgA, most high IgE, "			"Severe atopy, autoimmunity, bacterial and viral infections, skeletal anomalies dysplasia: short stature, brachydactyly, dysmorphic facial features, and intellectual disability cognitive impairment, hypomyelination"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
PIK3CD deficiency	PIK3CD	AR				Very low	Very low			Severe bacterial infections; autoimmune complications (IBD)	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
PIK3CD mutation (GOF) APDS1	PIK3CD GOF	AD	GOF	602839		"increased immature B cells, reduced memory B cells and increased transitional B cells"	"Normal/increased IgM, reduced IgG and IgA"			"Severe bacterial infections, EBV ± CMV viremia, autoimmunity, lymphadenopathy/splenomegaly,lymphoproliferation, lymphoma"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
PIK3CG deficiency	PIK3CG	AR			"Normal CD4 but low Treg, low CD8, poor proliferation"	Normal but diminished memory	Low with preserved vaccine resposnes		Eosinophilia	"Adenopathy, splenomegaly, HLH-like "	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
PIK3R1 deficiency	PIK3R1	AR 		171833		Very low	Very low			"Severe bacterial infections,  decreased or absent pro-B cells"	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
PIK3R1 deficiency (LOF) APDS2	PIK3R1	AD 		616005		"increased immature B cells, reduced memory B cells and increased transitional B cells"	"Normal/increased IgM, reduced IgG and IgA"			"Severe bacterial infections, lymphadenopathy/splenomegaly,lymphoproliferation, lymphoma; developmental delay"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
PLCG1 GOF disease	PLCG1	AD	GOF	620514	Normal	Normal			Type I interferon signature	ALPS-like	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
PLAID (PLCg2 associated antibody deficiency and immune dysregulation) or familial cold autoinflammatory syndrome 3  or APLAID (c2120A>C)	PLCG2 	AD 	GOF	614468	Normal 	Normal	Normal	Normal	"B cells, NK, Mast cells"	"Cold urticaria hypogammaglobulinemia, autoinflammation"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0001954		
PLEKHM1 deficiency associated osteopetrosis	PLEKHM1	AR		  611466					Osteoclasts	Osteopetrosis	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0011002		
PMS2 Deficiency	PMS2	AR		600259	Normal	"Low B cells, switched and non-switched "	"Low IgG and IgA, high IgM, abnormal antibody responses"			"Recurrent infections, café-au-lait spots, lymphoma, colorectal carcinoma, brain tumors"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
PVMK deficiency	PMVK	AR								"Phenococpies MVK deficiency, fevers, arthritis"	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.1	HP:0002721	HP:0001954		
